name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Fp1	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
Fp2	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
F3	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
F4	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
C3	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
C4	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
P3	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
P4	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
O1	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
O2	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
F7	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
F8	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
T7	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
T8	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
P7	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
P8	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
Fz	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
Cz	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
Pz	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
Oz	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
FC1	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
FC2	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
CP1	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
CP2	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
FC5	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
FC6	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
CP5	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
CP6	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
TP9	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
TP10	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
POz	EEG	µV	0.015915494309189534	250.0	ElectroEncephaloGram	5000.0	good	n/a
ECG	MISC	µV	0.015915494309189534	250.0	Miscellaneous	5000.0	good	n/a
CWL1	MISC	µV	0.015915494309189534	250.0	Miscellaneous	5000.0	good	n/a
CWL2	MISC	µV	0.015915494309189534	250.0	Miscellaneous	5000.0	good	n/a
CWL3	MISC	µV	0.015915494309189534	250.0	Miscellaneous	5000.0	good	n/a
CWL4	MISC	µV	0.015915494309189534	250.0	Miscellaneous	5000.0	good	n/a
